counterparty_id,legal_name,jurisdiction,risk_rating,last_kyc_refresh,sanctions_hits,ubo_count,aip_grounded_risk_summary
CP-00001,Counterparty 00001 Holdings,GB,critical,2026-04-30,0,2,"Grounded summary for CP-00001: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00002,Counterparty 00002 Holdings,KY,high,2026-04-29,0,3,"Grounded summary for CP-00002: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00003,Counterparty 00003 Holdings,DE,medium,2026-04-28,0,4,"Grounded summary for CP-00003: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00004,Counterparty 00004 Holdings,AE,low,2026-04-27,0,1,"Grounded summary for CP-00004: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00005,Counterparty 00005 Holdings,SG,critical,2026-04-26,0,2,"Grounded summary for CP-00005: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00006,Counterparty 00006 Holdings,US,high,2026-04-25,0,3,"Grounded summary for CP-00006: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00007,Counterparty 00007 Holdings,GB,medium,2026-04-24,0,4,"Grounded summary for CP-00007: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00008,Counterparty 00008 Holdings,KY,low,2026-04-23,0,1,"Grounded summary for CP-00008: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00009,Counterparty 00009 Holdings,DE,critical,2026-04-22,0,2,"Grounded summary for CP-00009: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00010,Counterparty 00010 Holdings,AE,high,2026-04-21,0,3,"Grounded summary for CP-00010: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00011,Counterparty 00011 Holdings,SG,medium,2026-04-20,0,4,"Grounded summary for CP-00011: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00012,Counterparty 00012 Holdings,US,low,2026-04-19,0,1,"Grounded summary for CP-00012: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00013,Counterparty 00013 Holdings,GB,critical,2026-04-18,0,2,"Grounded summary for CP-00013: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00014,Counterparty 00014 Holdings,KY,high,2026-04-17,0,3,"Grounded summary for CP-00014: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00015,Counterparty 00015 Holdings,DE,medium,2026-04-16,0,4,"Grounded summary for CP-00015: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00016,Counterparty 00016 Holdings,AE,low,2026-04-15,0,1,"Grounded summary for CP-00016: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00017,Counterparty 00017 Holdings,SG,critical,2026-04-14,0,2,"Grounded summary for CP-00017: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00018,Counterparty 00018 Holdings,US,high,2026-04-13,0,3,"Grounded summary for CP-00018: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00019,Counterparty 00019 Holdings,GB,medium,2026-04-12,0,4,"Grounded summary for CP-00019: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00020,Counterparty 00020 Holdings,KY,low,2026-04-11,0,1,"Grounded summary for CP-00020: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00021,Counterparty 00021 Holdings,DE,critical,2026-04-10,0,2,"Grounded summary for CP-00021: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00022,Counterparty 00022 Holdings,AE,high,2026-04-09,0,3,"Grounded summary for CP-00022: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00023,Counterparty 00023 Holdings,SG,medium,2026-04-08,0,4,"Grounded summary for CP-00023: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00024,Counterparty 00024 Holdings,US,low,2026-04-07,0,1,"Grounded summary for CP-00024: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00025,Counterparty 00025 Holdings,GB,critical,2026-04-06,0,2,"Grounded summary for CP-00025: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00026,Counterparty 00026 Holdings,KY,high,2026-04-05,0,3,"Grounded summary for CP-00026: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00027,Counterparty 00027 Holdings,DE,medium,2026-04-04,0,4,"Grounded summary for CP-00027: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00028,Counterparty 00028 Holdings,AE,low,2026-04-03,0,1,"Grounded summary for CP-00028: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00029,Counterparty 00029 Holdings,SG,critical,2026-04-02,0,2,"Grounded summary for CP-00029: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00030,Counterparty 00030 Holdings,US,high,2026-04-01,0,3,"Grounded summary for CP-00030: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00031,Counterparty 00031 Holdings,GB,medium,2026-03-31,0,4,"Grounded summary for CP-00031: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00032,Counterparty 00032 Holdings,KY,low,2026-03-30,0,1,"Grounded summary for CP-00032: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00033,Counterparty 00033 Holdings,DE,critical,2026-03-29,0,2,"Grounded summary for CP-00033: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00034,Counterparty 00034 Holdings,AE,high,2026-03-28,0,3,"Grounded summary for CP-00034: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00035,Counterparty 00035 Holdings,SG,medium,2026-03-27,0,4,"Grounded summary for CP-00035: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00036,Counterparty 00036 Holdings,US,low,2026-03-26,0,1,"Grounded summary for CP-00036: jurisdictional exposure, UBO depth 1, sanctions hits 0."
