source_counterparty_id,relationship_type,target_id,metric
CP-00001,TransactedWith,CP-00018,100001
CP-00001,UltimateBeneficialOwner,P-00001,1
CP-00002,TransactedWith,CP-00019,100002
CP-00002,UltimateBeneficialOwner,P-00002,1
CP-00003,TransactedWith,CP-00020,100003
CP-00003,UltimateBeneficialOwner,P-00003,1
CP-00004,TransactedWith,CP-00021,100004
CP-00004,UltimateBeneficialOwner,P-00004,1
CP-00005,TransactedWith,CP-00022,100005
CP-00005,UltimateBeneficialOwner,P-00005,1
CP-00006,TransactedWith,CP-00023,100006
CP-00006,UltimateBeneficialOwner,P-00006,1
CP-00007,TransactedWith,CP-00024,100007
CP-00007,UltimateBeneficialOwner,P-00007,1
CP-00008,TransactedWith,CP-00025,100008
CP-00008,UltimateBeneficialOwner,P-00008,1
CP-00009,TransactedWith,CP-00026,100009
CP-00009,UltimateBeneficialOwner,P-00009,1
CP-00010,TransactedWith,CP-00027,100010
CP-00010,UltimateBeneficialOwner,P-00010,1
CP-00011,TransactedWith,CP-00028,100011
CP-00011,UltimateBeneficialOwner,P-00011,1
CP-00012,TransactedWith,CP-00029,100012
CP-00012,UltimateBeneficialOwner,P-00012,1
CP-00013,TransactedWith,CP-00030,100013
CP-00013,UltimateBeneficialOwner,P-00013,1
CP-00014,TransactedWith,CP-00031,100014
CP-00014,UltimateBeneficialOwner,P-00014,1
CP-00015,TransactedWith,CP-00032,100015
CP-00015,UltimateBeneficialOwner,P-00015,1
CP-00016,TransactedWith,CP-00033,100016
CP-00016,UltimateBeneficialOwner,P-00016,1
CP-00017,TransactedWith,CP-00034,100017
CP-00017,UltimateBeneficialOwner,P-00017,1
CP-00018,TransactedWith,CP-00035,100018
CP-00018,UltimateBeneficialOwner,P-00018,1
CP-00019,TransactedWith,CP-00036,100019
CP-00019,UltimateBeneficialOwner,P-00019,1
CP-00020,TransactedWith,CP-00037,100020
CP-00020,UltimateBeneficialOwner,P-00020,1
CP-00021,TransactedWith,CP-00038,100021
CP-00021,UltimateBeneficialOwner,P-00021,1
CP-00022,TransactedWith,CP-00039,100022
CP-00022,UltimateBeneficialOwner,P-00022,1
CP-00023,TransactedWith,CP-00040,100023
CP-00023,UltimateBeneficialOwner,P-00023,1
CP-00024,TransactedWith,CP-00041,100024
CP-00024,UltimateBeneficialOwner,P-00024,1
CP-00025,TransactedWith,CP-00042,100025
CP-00025,UltimateBeneficialOwner,P-00025,1
CP-00026,TransactedWith,CP-00043,100026
CP-00026,UltimateBeneficialOwner,P-00026,1
CP-00027,TransactedWith,CP-00044,100027
CP-00027,UltimateBeneficialOwner,P-00027,1
CP-00028,TransactedWith,CP-00045,100028
CP-00028,UltimateBeneficialOwner,P-00028,1
CP-00029,TransactedWith,CP-00046,100029
CP-00029,UltimateBeneficialOwner,P-00029,1
CP-00030,TransactedWith,CP-00047,100030
CP-00030,UltimateBeneficialOwner,P-00030,1
CP-00031,TransactedWith,CP-00048,100031
CP-00031,UltimateBeneficialOwner,P-00031,1
CP-00032,TransactedWith,CP-00049,100032
CP-00032,UltimateBeneficialOwner,P-00032,1
CP-00033,TransactedWith,CP-00050,100033
CP-00033,UltimateBeneficialOwner,P-00033,1
CP-00034,TransactedWith,CP-00051,100034
CP-00034,UltimateBeneficialOwner,P-00034,1
CP-00035,TransactedWith,CP-00052,100035
CP-00035,UltimateBeneficialOwner,P-00035,1
CP-00036,TransactedWith,CP-00053,100036
CP-00036,UltimateBeneficialOwner,P-00036,1
CP-00037,TransactedWith,CP-00054,100037
CP-00037,UltimateBeneficialOwner,P-00037,1
CP-00038,TransactedWith,CP-00055,100038
CP-00038,UltimateBeneficialOwner,P-00038,1
CP-00039,TransactedWith,CP-00056,100039
CP-00039,UltimateBeneficialOwner,P-00039,1
CP-00040,TransactedWith,CP-00057,100040
CP-00040,UltimateBeneficialOwner,P-00040,1
CP-00041,TransactedWith,CP-00058,100041
CP-00041,UltimateBeneficialOwner,P-00041,1
CP-00042,TransactedWith,CP-00059,100042
CP-00042,UltimateBeneficialOwner,P-00042,1
CP-00043,TransactedWith,CP-00060,100043
CP-00043,UltimateBeneficialOwner,P-00043,1
CP-00044,TransactedWith,CP-00061,100044
CP-00044,UltimateBeneficialOwner,P-00044,1
CP-00045,TransactedWith,CP-00062,100045
CP-00045,UltimateBeneficialOwner,P-00045,1
CP-00046,TransactedWith,CP-00063,100046
CP-00046,UltimateBeneficialOwner,P-00046,1
CP-00047,TransactedWith,CP-00064,100047
CP-00047,UltimateBeneficialOwner,P-00047,1
CP-00048,TransactedWith,CP-00065,100048
CP-00048,UltimateBeneficialOwner,P-00048,1
CP-00049,TransactedWith,CP-00066,100049
CP-00049,UltimateBeneficialOwner,P-00049,1
CP-00050,TransactedWith,CP-00067,100050
CP-00050,UltimateBeneficialOwner,P-00050,1
CP-00051,TransactedWith,CP-00068,100051
CP-00051,UltimateBeneficialOwner,P-00051,1
CP-00052,TransactedWith,CP-00069,100052
CP-00052,UltimateBeneficialOwner,P-00052,1
CP-00053,TransactedWith,CP-00070,100053
CP-00053,UltimateBeneficialOwner,P-00053,1
CP-00054,TransactedWith,CP-00071,100054
CP-00054,UltimateBeneficialOwner,P-00054,1
CP-00055,TransactedWith,CP-00072,100055
CP-00055,UltimateBeneficialOwner,P-00055,1
CP-00056,TransactedWith,CP-00073,100056
CP-00056,UltimateBeneficialOwner,P-00056,1
CP-00057,TransactedWith,CP-00074,100057
CP-00057,UltimateBeneficialOwner,P-00057,1
CP-00058,TransactedWith,CP-00075,100058
CP-00058,UltimateBeneficialOwner,P-00058,1
CP-00059,TransactedWith,CP-00076,100059
CP-00059,UltimateBeneficialOwner,P-00059,1
CP-00060,TransactedWith,CP-00077,100060
CP-00060,UltimateBeneficialOwner,P-00060,1
CP-00061,TransactedWith,CP-00078,100061
CP-00061,UltimateBeneficialOwner,P-00061,1
CP-00062,TransactedWith,CP-00079,100062
CP-00062,UltimateBeneficialOwner,P-00062,1
CP-00063,TransactedWith,CP-00080,100063
CP-00063,UltimateBeneficialOwner,P-00063,1
CP-00064,TransactedWith,CP-00081,100064
