counterparty_id,month,transaction_volume
CP-00001,2025-01,51700
CP-00001,2025-02,52900
CP-00001,2025-03,54100
CP-00001,2025-04,55300
CP-00001,2025-05,56500
CP-00001,2025-06,57700
CP-00001,2025-07,58900
CP-00001,2025-08,60100
CP-00001,2025-09,61300
CP-00001,2025-10,62500
CP-00001,2025-11,63700
CP-00001,2025-12,64900
CP-00002,2025-01,52200
CP-00002,2025-02,53400
CP-00002,2025-03,54600
CP-00002,2025-04,55800
CP-00002,2025-05,57000
CP-00002,2025-06,58200
CP-00002,2025-07,59400
CP-00002,2025-08,60600
CP-00002,2025-09,61800
CP-00002,2025-10,63000
CP-00002,2025-11,64200
CP-00002,2025-12,65400
CP-00003,2025-01,52700
CP-00003,2025-02,53900
CP-00003,2025-03,55100
CP-00003,2025-04,56300
CP-00003,2025-05,57500
CP-00003,2025-06,58700
CP-00003,2025-07,59900
CP-00003,2025-08,61100
CP-00003,2025-09,62300
CP-00003,2025-10,63500
CP-00003,2025-11,64700
CP-00003,2025-12,65900
CP-00004,2025-01,53200
CP-00004,2025-02,54400
CP-00004,2025-03,55600
CP-00004,2025-04,56800
CP-00004,2025-05,58000
CP-00004,2025-06,59200
CP-00004,2025-07,60400
CP-00004,2025-08,61600
CP-00004,2025-09,62800
CP-00004,2025-10,64000
CP-00004,2025-11,65200
CP-00004,2025-12,66400
CP-00005,2025-01,53700
CP-00005,2025-02,54900
CP-00005,2025-03,56100
CP-00005,2025-04,57300
CP-00005,2025-05,58500
CP-00005,2025-06,59700
CP-00005,2025-07,60900
CP-00005,2025-08,62100
CP-00005,2025-09,63300
CP-00005,2025-10,64500
CP-00005,2025-11,65700
CP-00005,2025-12,66900
CP-00006,2025-01,54200
CP-00006,2025-02,55400
CP-00006,2025-03,56600
CP-00006,2025-04,57800
CP-00006,2025-05,59000
CP-00006,2025-06,60200
CP-00006,2025-07,61400
CP-00006,2025-08,62600
CP-00006,2025-09,63800
CP-00006,2025-10,65000
CP-00006,2025-11,66200
CP-00006,2025-12,67400
CP-00007,2025-01,54700
CP-00007,2025-02,55900
CP-00007,2025-03,57100
CP-00007,2025-04,58300
CP-00007,2025-05,59500
CP-00007,2025-06,60700
CP-00007,2025-07,61900
CP-00007,2025-08,63100
CP-00007,2025-09,64300
CP-00007,2025-10,65500
CP-00007,2025-11,66700
CP-00007,2025-12,67900
CP-00008,2025-01,55200
CP-00008,2025-02,56400
CP-00008,2025-03,57600
CP-00008,2025-04,58800
CP-00008,2025-05,60000
CP-00008,2025-06,61200
CP-00008,2025-07,62400
CP-00008,2025-08,63600
CP-00008,2025-09,64800
CP-00008,2025-10,66000
CP-00008,2025-11,67200
CP-00008,2025-12,68400
CP-00009,2025-01,55700
CP-00009,2025-02,56900
CP-00009,2025-03,58100
CP-00009,2025-04,59300
CP-00009,2025-05,60500
CP-00009,2025-06,61700
CP-00009,2025-07,62900
CP-00009,2025-08,64100
CP-00009,2025-09,65300
CP-00009,2025-10,66500
CP-00009,2025-11,67700
CP-00009,2025-12,68900
CP-00010,2025-01,56200
CP-00010,2025-02,57400
CP-00010,2025-03,58600
CP-00010,2025-04,59800
CP-00010,2025-05,61000
CP-00010,2025-06,62200
CP-00010,2025-07,63400
CP-00010,2025-08,64600
CP-00010,2025-09,65800
CP-00010,2025-10,67000
CP-00010,2025-11,68200
CP-00010,2025-12,69400
CP-00011,2025-01,56700
CP-00011,2025-02,57900
CP-00011,2025-03,59100
CP-00011,2025-04,60300
CP-00011,2025-05,61500
CP-00011,2025-06,62700
CP-00011,2025-07,63900
CP-00011,2025-08,65100
CP-00011,2025-09,66300
CP-00011,2025-10,67500
CP-00011,2025-11,68700
CP-00011,2025-12,69900
CP-00012,2025-01,57200
CP-00012,2025-02,58400
CP-00012,2025-03,59600
CP-00012,2025-04,60800
CP-00012,2025-05,62000
CP-00012,2025-06,63200
CP-00012,2025-07,64400
CP-00012,2025-08,65600
CP-00012,2025-09,66800
CP-00012,2025-10,68000
CP-00012,2025-11,69200
CP-00012,2025-12,70400
CP-00013,2025-01,57700
CP-00013,2025-02,58900
CP-00013,2025-03,60100
CP-00013,2025-04,61300
CP-00013,2025-05,62500
CP-00013,2025-06,63700
CP-00013,2025-07,64900
CP-00013,2025-08,66100
CP-00013,2025-09,67300
CP-00013,2025-10,68500
CP-00013,2025-11,69700
CP-00013,2025-12,70900
CP-00014,2025-01,58200
CP-00014,2025-02,59400
CP-00014,2025-03,60600
CP-00014,2025-04,61800
CP-00014,2025-05,63000
CP-00014,2025-06,64200
CP-00014,2025-07,65400
CP-00014,2025-08,66600
CP-00014,2025-09,67800
CP-00014,2025-10,69000
CP-00014,2025-11,70200
CP-00014,2025-12,71400
CP-00015,2025-01,58700
CP-00015,2025-02,59900
CP-00015,2025-03,61100
CP-00015,2025-04,62300
CP-00015,2025-05,63500
CP-00015,2025-06,64700
CP-00015,2025-07,65900
CP-00015,2025-08,67100
CP-00015,2025-09,68300
CP-00015,2025-10,69500
CP-00015,2025-11,70700
CP-00015,2025-12,71900
CP-00016,2025-01,59200
CP-00016,2025-02,60400
CP-00016,2025-03,61600
CP-00016,2025-04,62800
CP-00016,2025-05,64000
CP-00016,2025-06,65200
CP-00016,2025-07,66400
CP-00016,2025-08,67600
CP-00016,2025-09,68800
CP-00016,2025-10,70000
CP-00016,2025-11,71200
CP-00016,2025-12,72400
CP-00017,2025-01,59700
CP-00017,2025-02,60900
CP-00017,2025-03,62100
CP-00017,2025-04,63300
CP-00017,2025-05,64500
CP-00017,2025-06,65700
CP-00017,2025-07,66900
CP-00017,2025-08,68100
CP-00017,2025-09,69300
CP-00017,2025-10,70500
CP-00017,2025-11,71700
CP-00017,2025-12,72900
CP-00018,2025-01,60200
CP-00018,2025-02,61400
CP-00018,2025-03,62600
CP-00018,2025-04,63800
CP-00018,2025-05,65000
CP-00018,2025-06,66200
CP-00018,2025-07,67400
CP-00018,2025-08,68600
CP-00018,2025-09,69800
CP-00018,2025-10,71000
CP-00018,2025-11,72200
CP-00018,2025-12,73400
CP-00019,2025-01,60700
CP-00019,2025-02,61900
CP-00019,2025-03,63100
CP-00019,2025-04,64300
CP-00019,2025-05,65500
CP-00019,2025-06,66700
CP-00019,2025-07,67900
CP-00019,2025-08,69100
CP-00019,2025-09,70300
CP-00019,2025-10,71500
CP-00019,2025-11,72700
CP-00019,2025-12,73900
CP-00020,2025-01,61200
CP-00020,2025-02,62400
CP-00020,2025-03,63600
CP-00020,2025-04,64800
CP-00020,2025-05,66000
CP-00020,2025-06,67200
CP-00020,2025-07,68400
CP-00020,2025-08,69600
CP-00020,2025-09,70800
CP-00020,2025-10,72000
CP-00020,2025-11,73200
CP-00020,2025-12,74400
CP-00021,2025-01,61700
CP-00021,2025-02,62900
CP-00021,2025-03,64100
CP-00021,2025-04,65300
CP-00021,2025-05,66500
CP-00021,2025-06,67700
CP-00021,2025-07,68900
CP-00021,2025-08,70100
CP-00021,2025-09,71300
CP-00021,2025-10,72500
CP-00021,2025-11,73700
CP-00021,2025-12,74900
CP-00022,2025-01,62200
CP-00022,2025-02,63400
CP-00022,2025-03,64600
CP-00022,2025-04,65800
CP-00022,2025-05,67000
CP-00022,2025-06,68200
CP-00022,2025-07,69400
CP-00022,2025-08,70600
CP-00022,2025-09,71800
CP-00022,2025-10,73000
CP-00022,2025-11,74200
CP-00022,2025-12,75400
CP-00023,2025-01,62700
CP-00023,2025-02,63900
CP-00023,2025-03,65100
CP-00023,2025-04,66300
CP-00023,2025-05,67500
CP-00023,2025-06,68700
CP-00023,2025-07,69900
CP-00023,2025-08,71100
CP-00023,2025-09,72300
CP-00023,2025-10,73500
CP-00023,2025-11,74700
CP-00023,2025-12,75900
CP-00024,2025-01,63200
CP-00024,2025-02,64400
CP-00024,2025-03,65600
CP-00024,2025-04,66800
CP-00024,2025-05,68000
CP-00024,2025-06,69200
CP-00024,2025-07,70400
CP-00024,2025-08,71600
CP-00024,2025-09,72800
CP-00024,2025-10,74000
CP-00024,2025-11,75200
CP-00024,2025-12,76400
CP-00025,2025-01,63700
CP-00025,2025-02,64900
CP-00025,2025-03,66100
CP-00025,2025-04,67300
CP-00025,2025-05,68500
CP-00025,2025-06,69700
CP-00025,2025-07,70900
CP-00025,2025-08,72100
CP-00025,2025-09,73300
CP-00025,2025-10,74500
CP-00025,2025-11,75700
CP-00025,2025-12,76900
CP-00026,2025-01,64200
CP-00026,2025-02,65400
CP-00026,2025-03,66600
CP-00026,2025-04,67800
CP-00026,2025-05,69000
CP-00026,2025-06,70200
CP-00026,2025-07,71400
CP-00026,2025-08,72600
CP-00026,2025-09,73800
CP-00026,2025-10,75000
CP-00026,2025-11,76200
CP-00026,2025-12,77400
CP-00027,2025-01,64700
CP-00027,2025-02,65900
CP-00027,2025-03,67100
CP-00027,2025-04,68300
CP-00027,2025-05,69500
CP-00027,2025-06,70700
CP-00027,2025-07,71900
CP-00027,2025-08,73100
