counterparty_id,date,sanctions_signal,media_signal,transaction_signal,kyc_signal,composite_risk_score,deterioration_pattern
CP-SYN-000,2025-05-16,0.0457,0.1862,0.0944,0.3702,0.1392,baseline
CP-SYN-000,2025-05-17,0.0462,0.0802,0.1166,0.2733,0.1028,baseline
CP-SYN-000,2025-05-18,0.0435,0.2093,0.1116,0.4164,0.1545,baseline
CP-SYN-000,2025-05-19,0.0697,0.2088,0.0631,0.1985,0.1225,baseline
CP-SYN-000,2025-05-20,0.0574,0.3049,0.1021,0.2894,0.163,baseline
CP-SYN-000,2025-05-21,0.066,0.0837,0.0844,0.349,0.1165,baseline
CP-SYN-000,2025-05-22,0.0762,0.1807,0.1188,0.3248,0.1482,baseline
CP-SYN-000,2025-05-23,0.0735,0.1109,0.1284,0.1485,0.1051,baseline
CP-SYN-000,2025-05-24,0.0,0.1514,0.0542,0.3876,0.1068,baseline
CP-SYN-000,2025-05-25,0.0699,0.1025,0.1424,0.1998,0.112,baseline
CP-SYN-000,2025-05-26,0.0474,0.1765,0.1057,0.3819,0.1415,baseline
CP-SYN-000,2025-05-27,0.0692,0.228,0.1325,0.3478,0.1633,baseline
CP-SYN-000,2025-05-28,0.0312,0.1426,0.0765,0.3499,0.1159,baseline
CP-SYN-000,2025-05-29,0.0425,0.3869,0.059,0.1901,0.154,baseline
CP-SYN-000,2025-05-30,0.0731,0.3137,0.1253,0.3836,0.1903,baseline
CP-SYN-000,2025-05-31,0.0928,0.1925,0.0289,0.2468,0.128,baseline
CP-SYN-000,2025-06-01,0.0786,0.0845,0.1017,0.3253,0.1217,baseline
CP-SYN-000,2025-06-02,0.0405,0.2579,0.129,0.5321,0.1863,baseline
CP-SYN-000,2025-06-03,0.0686,0.1512,0.0719,0.2168,0.1122,baseline
CP-SYN-000,2025-06-04,0.0786,0.1547,0.0965,0.3749,0.1456,baseline
CP-SYN-000,2025-06-05,0.0283,0.1765,0.0079,0.1918,0.0858,baseline
CP-SYN-000,2025-06-06,0.033,0.2333,0.1597,0.2982,0.1482,baseline
CP-SYN-000,2025-06-07,0.0578,0.2134,0.1542,0.3893,0.1657,baseline
CP-SYN-000,2025-06-08,0.0582,0.1191,0.1452,0.3381,0.1328,baseline
