entity_id,legal_name,jurisdiction_of_incorporation,entity_type,incorporation_date,dissolution_date
E-001,Entity 001 Holdings,GB,llc,2011-01-01,
E-002,Entity 002 Holdings,DE,partnership,2012-01-01,
E-003,Entity 003 Holdings,KY,trust,2013-01-01,
E-004,Entity 004 Holdings,VG,corporation,2014-01-01,
E-005,Entity 005 Holdings,US,llc,2015-01-01,
E-006,Entity 006 Holdings,GB,partnership,2016-01-01,
E-007,Entity 007 Holdings,DE,trust,2017-01-01,
E-008,Entity 008 Holdings,KY,corporation,2018-01-01,
E-009,Entity 009 Holdings,VG,llc,2019-01-01,
E-010,Entity 010 Holdings,US,partnership,2010-01-01,
E-011,Entity 011 Holdings,GB,trust,2011-01-01,
E-012,Entity 012 Holdings,DE,corporation,2012-01-01,
E-013,Entity 013 Holdings,KY,llc,2013-01-01,
E-014,Entity 014 Holdings,VG,partnership,2014-01-01,
E-015,Entity 015 Holdings,US,trust,2015-01-01,
E-016,Entity 016 Holdings,GB,corporation,2016-01-01,
E-017,Entity 017 Holdings,DE,llc,2017-01-01,
E-018,Entity 018 Holdings,KY,partnership,2018-01-01,
E-019,Entity 019 Holdings,VG,trust,2019-01-01,
E-020,Entity 020 Holdings,US,corporation,2010-01-01,
E-021,Entity 021 Holdings,GB,llc,2011-01-01,
E-022,Entity 022 Holdings,DE,partnership,2012-01-01,
E-023,Entity 023 Holdings,KY,trust,2013-01-01,
E-024,Entity 024 Holdings,VG,corporation,2014-01-01,
E-025,Entity 025 Holdings,US,llc,2015-01-01,
E-026,Entity 026 Holdings,GB,partnership,2016-01-01,
E-027,Entity 027 Holdings,DE,trust,2017-01-01,
E-028,Entity 028 Holdings,KY,corporation,2018-01-01,
E-029,Entity 029 Holdings,VG,llc,2019-01-01,
E-030,Entity 030 Holdings,US,partnership,2010-01-01,
E-031,Entity 031 Holdings,GB,trust,2011-01-01,
E-032,Entity 032 Holdings,DE,corporation,2012-01-01,
E-033,Entity 033 Holdings,KY,llc,2013-01-01,
E-034,Entity 034 Holdings,VG,partnership,2014-01-01,
E-035,Entity 035 Holdings,US,trust,2015-01-01,
E-036,Entity 036 Holdings,GB,corporation,2016-01-01,
E-037,Entity 037 Holdings,DE,llc,2017-01-01,
E-038,Entity 038 Holdings,KY,partnership,2018-01-01,
E-039,Entity 039 Holdings,VG,trust,2019-01-01,
E-040,Entity 040 Holdings,US,corporation,2010-01-01,
E-041,Entity 041 Holdings,GB,llc,2011-01-01,
E-042,Entity 042 Holdings,DE,partnership,2012-01-01,
E-043,Entity 043 Holdings,KY,trust,2013-01-01,
E-044,Entity 044 Holdings,VG,corporation,2014-01-01,
E-045,Entity 045 Holdings,US,llc,2015-01-01,
E-046,Entity 046 Holdings,GB,partnership,2016-01-01,
E-047,Entity 047 Holdings,DE,trust,2017-01-01,
E-048,Entity 048 Holdings,KY,corporation,2018-01-01,
E-049,Entity 049 Holdings,VG,llc,2019-01-01,
E-050,Entity 050 Holdings,US,partnership,2010-01-01,
E-051,Entity 051 Holdings,GB,trust,2011-01-01,
E-052,Entity 052 Holdings,DE,corporation,2012-01-01,
E-053,Entity 053 Holdings,KY,llc,2013-01-01,
E-054,Entity 054 Holdings,VG,partnership,2014-01-01,
E-055,Entity 055 Holdings,US,trust,2015-01-01,
E-056,Entity 056 Holdings,GB,corporation,2016-01-01,
E-057,Entity 057 Holdings,DE,llc,2017-01-01,
E-058,Entity 058 Holdings,KY,partnership,2018-01-01,
E-059,Entity 059 Holdings,VG,trust,2019-01-01,
E-060,Entity 060 Holdings,US,corporation,2010-01-01,
E-061,Entity 061 Holdings,GB,llc,2011-01-01,
E-062,Entity 062 Holdings,DE,partnership,2012-01-01,
E-063,Entity 063 Holdings,KY,trust,2013-01-01,
E-064,Entity 064 Holdings,VG,corporation,2014-01-01,
E-065,Entity 065 Holdings,US,llc,2015-01-01,
E-066,Entity 066 Holdings,GB,partnership,2016-01-01,
E-067,Entity 067 Holdings,DE,trust,2017-01-01,
E-068,Entity 068 Holdings,KY,corporation,2018-01-01,
E-069,Entity 069 Holdings,VG,llc,2019-01-01,
E-070,Entity 070 Holdings,US,partnership,2010-01-01,
E-071,Entity 071 Holdings,GB,trust,2011-01-01,
E-072,Entity 072 Holdings,DE,corporation,2012-01-01,
E-073,Entity 073 Holdings,KY,llc,2013-01-01,
E-074,Entity 074 Holdings,VG,partnership,2014-01-01,
E-075,Entity 075 Holdings,US,trust,2015-01-01,
E-076,Entity 076 Holdings,GB,corporation,2016-01-01,
E-077,Entity 077 Holdings,DE,llc,2017-01-01,
E-078,Entity 078 Holdings,KY,partnership,2018-01-01,
E-079,Entity 079 Holdings,VG,trust,2019-01-01,
E-080,Entity 080 Holdings,US,corporation,2010-01-01,
E-081,Entity 081 Holdings,GB,llc,2011-01-01,
E-082,Entity 082 Holdings,DE,partnership,2012-01-01,
E-083,Entity 083 Holdings,KY,trust,2013-01-01,
E-084,Entity 084 Holdings,VG,corporation,2014-01-01,
E-085,Entity 085 Holdings,US,llc,2015-01-01,
E-086,Entity 086 Holdings,GB,partnership,2016-01-01,
E-087,Entity 087 Holdings,DE,trust,2017-01-01,
E-088,Entity 088 Holdings,KY,corporation,2018-01-01,
E-089,Entity 089 Holdings,VG,llc,2019-01-01,
E-090,Entity 090 Holdings,US,partnership,2010-01-01,
E-091,Entity 091 Holdings,GB,trust,2011-01-01,
E-092,Entity 092 Holdings,DE,corporation,2012-01-01,
E-093,Entity 093 Holdings,KY,llc,2013-01-01,
E-094,Entity 094 Holdings,VG,partnership,2014-01-01,
E-095,Entity 095 Holdings,US,trust,2015-01-01,
E-096,Entity 096 Holdings,GB,corporation,2016-01-01,
E-097,Entity 097 Holdings,DE,llc,2017-01-01,
E-098,Entity 098 Holdings,KY,partnership,2018-01-01,
E-099,Entity 099 Holdings,VG,trust,2019-01-01,
E-100,Entity 100 Holdings,US,corporation,2010-01-01,
E-101,Entity 101 Holdings,GB,llc,2011-01-01,
E-102,Entity 102 Holdings,DE,partnership,2012-01-01,
E-103,Entity 103 Holdings,KY,trust,2013-01-01,
E-104,Entity 104 Holdings,VG,corporation,2014-01-01,
E-105,Entity 105 Holdings,US,llc,2015-01-01,
E-106,Entity 106 Holdings,GB,partnership,2016-01-01,
E-107,Entity 107 Holdings,DE,trust,2017-01-01,
E-108,Entity 108 Holdings,KY,corporation,2018-01-01,
E-109,Entity 109 Holdings,VG,llc,2019-01-01,
E-110,Entity 110 Holdings,US,partnership,2010-01-01,
E-111,Entity 111 Holdings,GB,trust,2011-01-01,
E-112,Entity 112 Holdings,DE,corporation,2012-01-01,
E-113,Entity 113 Holdings,KY,llc,2013-01-01,
E-114,Entity 114 Holdings,VG,partnership,2014-01-01,
E-115,Entity 115 Holdings,US,trust,2015-01-01,
E-116,Entity 116 Holdings,GB,corporation,2016-01-01,
E-117,Entity 117 Holdings,DE,llc,2017-01-01,
E-118,Entity 118 Holdings,KY,partnership,2018-01-01,
E-119,Entity 119 Holdings,VG,trust,2019-01-01,
E-120,Entity 120 Holdings,US,corporation,2010-01-01,
E-121,Entity 121 Holdings,GB,llc,2011-01-01,
E-122,Entity 122 Holdings,DE,partnership,2012-01-01,
E-123,Entity 123 Holdings,KY,trust,2013-01-01,
E-124,Entity 124 Holdings,VG,corporation,2014-01-01,
E-125,Entity 125 Holdings,US,llc,2015-01-01,
E-126,Entity 126 Holdings,GB,partnership,2016-01-01,
E-127,Entity 127 Holdings,DE,trust,2017-01-01,
E-128,Entity 128 Holdings,KY,corporation,2018-01-01,
E-129,Entity 129 Holdings,VG,llc,2019-01-01,
E-130,Entity 130 Holdings,US,partnership,2010-01-01,
E-131,Entity 131 Holdings,GB,trust,2011-01-01,
E-132,Entity 132 Holdings,DE,corporation,2012-01-01,
E-133,Entity 133 Holdings,KY,llc,2013-01-01,
