person_id,entity_id,role,effective_from,effective_to,disclosure_source
P-011,E-001,director,2024-01-01,,voluntary_disclosure
P-012,E-002,officer,2024-01-01,,voluntary_disclosure
P-013,E-003,director,2024-01-01,,uk_psc
P-014,E-004,officer,2024-01-01,,voluntary_disclosure
P-015,E-005,director,2024-01-01,,voluntary_disclosure
P-016,E-006,officer,2024-01-01,,uk_psc
P-017,E-007,director,2024-01-01,,voluntary_disclosure
P-018,E-008,officer,2024-01-01,,voluntary_disclosure
P-019,E-009,director,2024-01-01,,uk_psc
P-020,E-010,officer,2024-01-01,,voluntary_disclosure
P-021,E-011,director,2024-01-01,,voluntary_disclosure
P-022,E-012,officer,2024-01-01,,uk_psc
P-023,E-013,director,2024-01-01,,voluntary_disclosure
P-024,E-014,officer,2024-01-01,,voluntary_disclosure
P-025,E-015,director,2024-01-01,,uk_psc
P-026,E-016,officer,2024-01-01,,voluntary_disclosure
P-027,E-017,director,2024-01-01,,voluntary_disclosure
P-028,E-018,officer,2024-01-01,,uk_psc
P-029,E-019,director,2024-01-01,,voluntary_disclosure
P-030,E-020,officer,2024-01-01,,voluntary_disclosure
P-031,E-021,director,2024-01-01,,uk_psc
P-032,E-022,officer,2024-01-01,,voluntary_disclosure
P-033,E-023,director,2024-01-01,,voluntary_disclosure
P-034,E-024,officer,2024-01-01,,uk_psc
P-035,E-025,director,2024-01-01,,voluntary_disclosure
P-036,E-026,officer,2024-01-01,,voluntary_disclosure
P-037,E-027,director,2024-01-01,,uk_psc
P-038,E-028,officer,2024-01-01,,voluntary_disclosure
P-039,E-029,director,2024-01-01,,voluntary_disclosure
P-040,E-030,officer,2024-01-01,,uk_psc
P-041,E-031,director,2024-01-01,,voluntary_disclosure
P-042,E-032,officer,2024-01-01,,voluntary_disclosure
P-043,E-033,director,2024-01-01,,uk_psc
P-044,E-034,officer,2024-01-01,,voluntary_disclosure
P-045,E-035,director,2024-01-01,,voluntary_disclosure
P-046,E-036,officer,2024-01-01,,uk_psc
P-047,E-037,director,2024-01-01,,voluntary_disclosure
P-048,E-038,officer,2024-01-01,,voluntary_disclosure
P-049,E-039,director,2024-01-01,,uk_psc
P-050,E-040,officer,2024-01-01,,voluntary_disclosure
P-051,E-041,director,2024-01-01,,voluntary_disclosure
P-052,E-042,officer,2024-01-01,,uk_psc
P-053,E-043,director,2024-01-01,,voluntary_disclosure
P-054,E-044,officer,2024-01-01,,voluntary_disclosure
P-055,E-045,director,2024-01-01,,uk_psc
P-056,E-046,officer,2024-01-01,,voluntary_disclosure
P-057,E-047,director,2024-01-01,,voluntary_disclosure
P-058,E-048,officer,2024-01-01,,uk_psc
P-059,E-049,director,2024-01-01,,voluntary_disclosure
P-060,E-050,officer,2024-01-01,,voluntary_disclosure
P-061,E-051,director,2024-01-01,,uk_psc
P-062,E-052,officer,2024-01-01,,voluntary_disclosure
P-063,E-053,director,2024-01-01,,voluntary_disclosure
P-064,E-054,officer,2024-01-01,,uk_psc
P-065,E-055,director,2024-01-01,,voluntary_disclosure
P-066,E-056,officer,2024-01-01,,voluntary_disclosure
P-067,E-057,director,2024-01-01,,uk_psc
P-068,E-058,officer,2024-01-01,,voluntary_disclosure
P-069,E-059,director,2024-01-01,,voluntary_disclosure
P-070,E-060,officer,2024-01-01,,uk_psc
P-071,E-061,director,2024-01-01,,voluntary_disclosure
P-072,E-062,officer,2024-01-01,,voluntary_disclosure
P-073,E-063,director,2024-01-01,,uk_psc
P-074,E-064,officer,2024-01-01,,voluntary_disclosure
P-075,E-065,director,2024-01-01,,voluntary_disclosure
P-076,E-066,officer,2024-01-01,,uk_psc
P-077,E-067,director,2024-01-01,,voluntary_disclosure
P-078,E-068,officer,2024-01-01,,voluntary_disclosure
P-079,E-069,director,2024-01-01,,uk_psc
P-080,E-070,officer,2024-01-01,,voluntary_disclosure
P-081,E-071,director,2024-01-01,,voluntary_disclosure
P-082,E-072,officer,2024-01-01,,uk_psc
P-083,E-073,director,2024-01-01,,voluntary_disclosure
P-084,E-074,officer,2024-01-01,,voluntary_disclosure
P-085,E-075,director,2024-01-01,,uk_psc
P-086,E-076,officer,2024-01-01,,voluntary_disclosure
P-087,E-077,director,2024-01-01,,voluntary_disclosure
P-088,E-078,officer,2024-01-01,,uk_psc
P-089,E-079,director,2024-01-01,,voluntary_disclosure
P-090,E-080,officer,2024-01-01,,voluntary_disclosure
P-091,E-081,director,2024-01-01,,uk_psc
P-092,E-082,officer,2024-01-01,,voluntary_disclosure
P-093,E-083,director,2024-01-01,,voluntary_disclosure
P-094,E-084,officer,2024-01-01,,uk_psc
P-095,E-085,director,2024-01-01,,voluntary_disclosure
P-096,E-086,officer,2024-01-01,,voluntary_disclosure
P-097,E-087,director,2024-01-01,,uk_psc
P-098,E-088,officer,2024-01-01,,voluntary_disclosure
P-099,E-089,director,2024-01-01,,voluntary_disclosure
P-100,E-090,officer,2024-01-01,,uk_psc
P-101,E-091,director,2024-01-01,,voluntary_disclosure
P-102,E-092,officer,2024-01-01,,voluntary_disclosure
P-103,E-093,director,2024-01-01,,uk_psc
P-104,E-094,officer,2024-01-01,,voluntary_disclosure
P-105,E-095,director,2024-01-01,,voluntary_disclosure
P-106,E-096,officer,2024-01-01,,uk_psc
P-107,E-097,director,2024-01-01,,voluntary_disclosure
P-108,E-098,officer,2024-01-01,,voluntary_disclosure
P-109,E-099,director,2024-01-01,,uk_psc
P-110,E-100,officer,2024-01-01,,voluntary_disclosure
P-111,E-101,director,2024-01-01,,voluntary_disclosure
P-112,E-102,officer,2024-01-01,,uk_psc
P-113,E-103,director,2024-01-01,,voluntary_disclosure
P-114,E-104,officer,2024-01-01,,voluntary_disclosure
P-115,E-105,director,2024-01-01,,uk_psc
P-116,E-106,officer,2024-01-01,,voluntary_disclosure
P-117,E-107,director,2024-01-01,,voluntary_disclosure
P-118,E-108,officer,2024-01-01,,uk_psc
P-119,E-109,director,2024-01-01,,voluntary_disclosure
P-120,E-110,officer,2024-01-01,,voluntary_disclosure
P-001,E-111,director,2024-01-01,,uk_psc
P-002,E-112,officer,2024-01-01,,voluntary_disclosure
P-003,E-113,director,2024-01-01,,voluntary_disclosure
P-004,E-114,officer,2024-01-01,,uk_psc
P-005,E-115,director,2024-01-01,,voluntary_disclosure
P-006,E-116,officer,2024-01-01,,voluntary_disclosure
P-007,E-117,director,2024-01-01,,uk_psc
P-008,E-118,officer,2024-01-01,,voluntary_disclosure
P-009,E-119,director,2024-01-01,,voluntary_disclosure
P-010,E-120,officer,2024-01-01,,uk_psc
P-011,E-121,director,2024-01-01,,voluntary_disclosure
P-012,E-122,officer,2024-01-01,,voluntary_disclosure
P-013,E-123,director,2024-01-01,,uk_psc
P-014,E-124,officer,2024-01-01,,voluntary_disclosure
P-015,E-125,director,2024-01-01,,voluntary_disclosure
P-016,E-126,officer,2024-01-01,,uk_psc
P-017,E-127,director,2024-01-01,,voluntary_disclosure
P-018,E-128,officer,2024-01-01,,voluntary_disclosure
P-019,E-129,director,2024-01-01,,uk_psc
P-020,E-130,officer,2024-01-01,,voluntary_disclosure
P-021,E-131,director,2024-01-01,,voluntary_disclosure
P-022,E-132,officer,2024-01-01,,uk_psc
P-023,E-133,director,2024-01-01,,voluntary_disclosure
P-024,E-134,officer,2024-01-01,,voluntary_disclosure
P-025,E-135,director,2024-01-01,,uk_psc
P-026,E-136,officer,2024-01-01,,voluntary_disclosure
P-027,E-137,director,2024-01-01,,voluntary_disclosure
P-028,E-138,officer,2024-01-01,,uk_psc
P-029,E-139,director,2024-01-01,,voluntary_disclosure
P-030,E-140,officer,2024-01-01,,voluntary_disclosure
P-031,E-141,director,2024-01-01,,uk_psc
P-032,E-142,officer,2024-01-01,,voluntary_disclosure
P-033,E-143,director,2024-01-01,,voluntary_disclosure
P-034,E-144,officer,2024-01-01,,uk_psc
P-035,E-145,director,2024-01-01,,voluntary_disclosure
P-036,E-146,officer,2024-01-01,,voluntary_disclosure
P-037,E-147,director,2024-01-01,,uk_psc
P-038,E-148,officer,2024-01-01,,voluntary_disclosure
P-039,E-149,director,2024-01-01,,voluntary_disclosure
P-040,E-150,officer,2024-01-01,,uk_psc
P-041,E-151,director,2024-01-01,,voluntary_disclosure
P-042,E-152,officer,2024-01-01,,voluntary_disclosure
P-043,E-153,director,2024-01-01,,uk_psc
P-044,E-154,officer,2024-01-01,,voluntary_disclosure
P-045,E-155,director,2024-01-01,,voluntary_disclosure
P-046,E-156,officer,2024-01-01,,uk_psc
P-047,E-157,director,2024-01-01,,voluntary_disclosure
P-048,E-158,officer,2024-01-01,,voluntary_disclosure
P-049,E-159,director,2024-01-01,,uk_psc
P-050,E-160,officer,2024-01-01,,voluntary_disclosure
P-051,E-161,director,2024-01-01,,voluntary_disclosure
P-052,E-162,officer,2024-01-01,,uk_psc
P-053,E-163,director,2024-01-01,,voluntary_disclosure
P-054,E-164,officer,2024-01-01,,voluntary_disclosure
P-055,E-165,director,2024-01-01,,uk_psc
P-056,E-166,officer,2024-01-01,,voluntary_disclosure
P-057,E-167,director,2024-01-01,,voluntary_disclosure
P-058,E-168,officer,2024-01-01,,uk_psc
P-059,E-169,director,2024-01-01,,voluntary_disclosure
P-060,E-170,officer,2024-01-01,,voluntary_disclosure
P-061,E-171,director,2024-01-01,,uk_psc
P-062,E-172,officer,2024-01-01,,voluntary_disclosure
P-063,E-173,director,2024-01-01,,voluntary_disclosure
P-064,E-174,officer,2024-01-01,,uk_psc
P-065,E-175,director,2024-01-01,,voluntary_disclosure
P-066,E-176,officer,2024-01-01,,voluntary_disclosure
P-067,E-177,director,2024-01-01,,uk_psc
P-068,E-178,officer,2024-01-01,,voluntary_disclosure
P-069,E-179,director,2024-01-01,,voluntary_disclosure
P-070,E-180,officer,2024-01-01,,uk_psc
P-071,E-181,director,2024-01-01,,voluntary_disclosure
P-072,E-182,officer,2024-01-01,,voluntary_disclosure
P-073,E-183,director,2024-01-01,,uk_psc
P-074,E-184,officer,2024-01-01,,voluntary_disclosure
P-075,E-185,director,2024-01-01,,voluntary_disclosure
P-076,E-186,officer,2024-01-01,,uk_psc
P-077,E-187,director,2024-01-01,,voluntary_disclosure
P-078,E-188,officer,2024-01-01,,voluntary_disclosure
P-079,E-189,director,2024-01-01,,uk_psc
P-080,E-190,officer,2024-01-01,,voluntary_disclosure
P-081,E-191,director,2024-01-01,,voluntary_disclosure
P-082,E-192,officer,2024-01-01,,uk_psc
P-083,E-193,director,2024-01-01,,voluntary_disclosure
P-084,E-194,officer,2024-01-01,,voluntary_disclosure
P-085,E-195,director,2024-01-01,,uk_psc
