source_id,target_id,ownership_percentage,ownership_type,effective_from,effective_to,disclosure_source,disclosure_date
P-001,E-001,26,direct_economic,2024-01-01,,uk_psc,2025-01-15
E-031,E-001,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-002,E-002,27,direct_economic,2024-01-01,,eu_ubo,2025-01-15
E-032,E-002,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-003,E-003,28,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
E-033,E-003,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-004,E-004,29,direct_economic,2024-01-01,,fincen_boi,2025-01-15
E-034,E-004,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-005,E-005,30,direct_economic,2024-01-01,,uk_psc,2025-01-15
E-035,E-005,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-006,E-006,31,direct_economic,2024-01-01,,eu_ubo,2025-01-15
E-036,E-006,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-007,E-007,32,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
E-037,E-007,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-008,E-008,33,direct_economic,2024-01-01,,fincen_boi,2025-01-15
E-038,E-008,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-009,E-009,34,direct_economic,2024-01-01,,uk_psc,2025-01-15
E-039,E-009,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-010,E-010,35,direct_economic,2024-01-01,,eu_ubo,2025-01-15
E-040,E-010,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-011,E-011,36,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
E-041,E-011,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-012,E-012,37,direct_economic,2024-01-01,,fincen_boi,2025-01-15
E-042,E-012,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-013,E-013,38,direct_economic,2024-01-01,,uk_psc,2025-01-15
E-043,E-013,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-014,E-014,39,direct_economic,2024-01-01,,eu_ubo,2025-01-15
E-044,E-014,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-015,E-015,40,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
E-045,E-015,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-016,E-016,41,direct_economic,2024-01-01,,fincen_boi,2025-01-15
E-046,E-016,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-017,E-017,42,direct_economic,2024-01-01,,uk_psc,2025-01-15
E-047,E-017,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-018,E-018,43,direct_economic,2024-01-01,,eu_ubo,2025-01-15
E-048,E-018,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-019,E-019,44,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
E-049,E-019,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-020,E-020,45,direct_economic,2024-01-01,,fincen_boi,2025-01-15
E-050,E-020,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-021,E-021,46,direct_economic,2024-01-01,,uk_psc,2025-01-15
E-051,E-021,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
