entity_id,country_code,registration_date,registration_number
E-001,GB,2011-01-01,REG-000001
E-002,DE,2012-01-01,REG-000002
E-003,KY,2013-01-01,REG-000003
E-004,VG,2014-01-01,REG-000004
E-005,US,2015-01-01,REG-000005
E-006,GB,2016-01-01,REG-000006
E-007,DE,2017-01-01,REG-000007
E-008,KY,2018-01-01,REG-000008
E-009,VG,2019-01-01,REG-000009
E-010,US,2010-01-01,REG-000010
E-011,GB,2011-01-01,REG-000011
E-012,DE,2012-01-01,REG-000012
E-013,KY,2013-01-01,REG-000013
E-014,VG,2014-01-01,REG-000014
E-015,US,2015-01-01,REG-000015
E-016,GB,2016-01-01,REG-000016
E-017,DE,2017-01-01,REG-000017
E-018,KY,2018-01-01,REG-000018
E-019,VG,2019-01-01,REG-000019
E-020,US,2010-01-01,REG-000020
E-021,GB,2011-01-01,REG-000021
E-022,DE,2012-01-01,REG-000022
E-023,KY,2013-01-01,REG-000023
E-024,VG,2014-01-01,REG-000024
E-025,US,2015-01-01,REG-000025
E-026,GB,2016-01-01,REG-000026
E-027,DE,2017-01-01,REG-000027
E-028,KY,2018-01-01,REG-000028
E-029,VG,2019-01-01,REG-000029
E-030,US,2010-01-01,REG-000030
E-031,GB,2011-01-01,REG-000031
E-032,DE,2012-01-01,REG-000032
E-033,KY,2013-01-01,REG-000033
E-034,VG,2014-01-01,REG-000034
E-035,US,2015-01-01,REG-000035
E-036,GB,2016-01-01,REG-000036
E-037,DE,2017-01-01,REG-000037
E-038,KY,2018-01-01,REG-000038
E-039,VG,2019-01-01,REG-000039
E-040,US,2010-01-01,REG-000040
E-041,GB,2011-01-01,REG-000041
E-042,DE,2012-01-01,REG-000042
E-043,KY,2013-01-01,REG-000043
E-044,VG,2014-01-01,REG-000044
E-045,US,2015-01-01,REG-000045
E-046,GB,2016-01-01,REG-000046
E-047,DE,2017-01-01,REG-000047
E-048,KY,2018-01-01,REG-000048
E-049,VG,2019-01-01,REG-000049
E-050,US,2010-01-01,REG-000050
E-051,GB,2011-01-01,REG-000051
E-052,DE,2012-01-01,REG-000052
E-053,KY,2013-01-01,REG-000053
E-054,VG,2014-01-01,REG-000054
E-055,US,2015-01-01,REG-000055
E-056,GB,2016-01-01,REG-000056
E-057,DE,2017-01-01,REG-000057
E-058,KY,2018-01-01,REG-000058
E-059,VG,2019-01-01,REG-000059
E-060,US,2010-01-01,REG-000060
E-061,GB,2011-01-01,REG-000061
E-062,DE,2012-01-01,REG-000062
E-063,KY,2013-01-01,REG-000063
E-064,VG,2014-01-01,REG-000064
E-065,US,2015-01-01,REG-000065
E-066,GB,2016-01-01,REG-000066
E-067,DE,2017-01-01,REG-000067
E-068,KY,2018-01-01,REG-000068
E-069,VG,2019-01-01,REG-000069
E-070,US,2010-01-01,REG-000070
E-071,GB,2011-01-01,REG-000071
E-072,DE,2012-01-01,REG-000072
E-073,KY,2013-01-01,REG-000073
E-074,VG,2014-01-01,REG-000074
