owner_kind,owner_uid,owner_full_name,owner_jurisdiction,owner_sanctioned,entity_uid,entity_legal_name,entity_jurisdiction,entity_type,percentage,effective_date,source_filing_ref
Person,P-0021,Person 21,US-NY,0,E-0001,Entity 001,US-NY,SPV,0.5605,2024-12-31,SYNTH-E-0001-2024-001
Entity,E-0065,Entity 065,LU,0,E-0001,Entity 001,US-NY,SPV,0.4395,2024-12-31,SYNTH-E-0001-2024-001
Person,P-0020,Person 20,US-NY,0,E-0002,Entity 002,SG,SPV,0.2709,2024-12-31,SYNTH-E-0002-2024-001
Entity,E-0063,Entity 063,LU,0,E-0002,Entity 002,SG,SPV,0.5092,2024-12-31,SYNTH-E-0002-2024-001
Person,P-0004,Person 04,SG,0,E-0002,Entity 002,SG,SPV,0.2199,2024-12-31,SYNTH-E-0002-2024-001
Entity,E-0031,Entity 031,KY,0,E-0003,Entity 003,LU,HoldCo,0.5138,2024-12-31,SYNTH-E-0003-2024-001
Person,P-0008,Person 08,US-NY,0,E-0003,Entity 003,LU,HoldCo,0.4862,2024-12-31,SYNTH-E-0003-2024-001
Person,P-0025,Person 25,LU,0,E-0004,Entity 004,US-NY,HoldCo,0.6236,2024-12-31,SYNTH-E-0004-2024-001
Person,P-0005,Person 05,KY,0,E-0004,Entity 004,US-NY,HoldCo,0.0564,2024-12-31,SYNTH-E-0004-2024-001
Entity,E-0071,Entity 071,SG,0,E-0004,Entity 004,US-NY,HoldCo,0.32,2024-12-31,SYNTH-E-0004-2024-001
Entity,E-0028,Entity 028,KY,0,E-0005,Entity 005,LU,HoldCo,1.0,2024-12-31,SYNTH-E-0005-2024-001
Entity,E-0048,Entity 048,BVI,0,E-0006,Entity 006,US-DE,OperatingCo,0.35,2024-12-31,SYNTH-E-0006-2024-001
Entity,E-0067,Entity 067,LU,0,E-0006,Entity 006,US-DE,OperatingCo,0.3197,2024-12-31,SYNTH-E-0006-2024-001
Entity,E-0016,Entity 016,LU,0,E-0006,Entity 006,US-DE,OperatingCo,0.3303,2024-12-31,SYNTH-E-0006-2024-001
Entity,E-0003,Entity 003,LU,0,E-0007,Entity 007,SG,HoldCo,1.0,2024-12-31,SYNTH-E-0007-2024-001
Person,P-0008,Person 08,US-NY,0,E-0008,Entity 008,KY,HoldCo,0.4819,2024-12-31,SYNTH-E-0008-2024-001
Person,P-0002,Person 02,US-DE,1,E-0008,Entity 008,KY,HoldCo,0.5119,2024-12-31,SYNTH-E-0008-2024-001
Entity,E-0010,Entity 010,KY,0,E-0008,Entity 008,KY,HoldCo,0.0062,2024-12-31,SYNTH-E-0008-2024-001
Person,P-0024,Person 24,US-DE,0,E-0009,Entity 009,US-NY,OperatingCo,0.2123,2024-12-31,SYNTH-E-0009-2024-001
Entity,E-0032,Entity 032,SG,0,E-0009,Entity 009,US-NY,OperatingCo,0.5967,2024-12-31,SYNTH-E-0009-2024-001
Entity,E-0053,Entity 053,LU,0,E-0009,Entity 009,US-NY,OperatingCo,0.191,2024-12-31,SYNTH-E-0009-2024-001
Entity,E-0046,Entity 046,SG,0,E-0010,Entity 010,KY,OperatingCo,1.0,2024-12-31,SYNTH-E-0010-2024-001
Person,P-0022,Person 22,LU,0,E-0011,Entity 011,US-DE,HoldCo,0.3224,2024-12-31,SYNTH-E-0011-2024-001
